id,kind,entity_id,display_name,image_key,seasons,original_path,original_width,original_height,processed_path,processed_width,processed_height,photo_type,confidence,derivative_method,needs_resourcing,visual_review_status,rights_review_status,source_url,photo_note
player:adam-chiles,player,adam-chiles,Adam Chiles,uk_adam_chiles,2001-02,/images/players/original/uk_adam_chiles.webp,420,560,/images/players/processed/uk_adam_chiles.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:adam-williams,player,adam-williams,Adam Williams,uk_adam_williams,2005-06,/images/players/original/uk_adam_williams.webp,420,560,/images/players/processed/uk_adam_williams.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:allen-edwards,player,allen-edwards,Allen Edwards,uk_allen_edwards,1997-98,/images/players/original/uk_allen_edwards.webp,420,560,/images/players/processed/uk_allen_edwards.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:antwain-barbour,player,antwain-barbour,Antwain Barbour,uk_antwain_barbour,2002-03|2003-04,/images/players/original/uk_antwain_barbour.webp,420,560,/images/players/processed/uk_antwain_barbour.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:bernard-cote,player,bernard-cote,Bernard Cote,uk_bernard_cote,2002-03|2003-04,/images/players/original/uk_bernard_cote.webp,420,560,/images/players/processed/uk_bernard_cote.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:bobby-perry,player,bobby-perry,Bobby Perry,uk_bobby_perry,2003-04|2004-05|2005-06|2006-07,/images/players/original/uk_bobby_perry.webp,420,560,/images/players/processed/uk_bobby_perry.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:brandon-stockton,player,brandon-stockton,Brandon Stockton,uk_brandon_stockton,2002-03|2003-04|2004-05|2005-06,/images/players/original/uk_brandon_stockton.webp,420,560,/images/players/processed/uk_brandon_stockton.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:cameron-mills,player,cameron-mills,Cameron Mills,uk_cameron_mills,1997-98,/images/players/original/uk_cameron_mills.webp,420,560,/images/players/processed/uk_cameron_mills.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:chuck-hayes,player,chuck-hayes,Chuck Hayes,uk_chuck_hayes,2001-02|2002-03|2003-04|2004-05,/images/players/original/uk_chuck_hayes.webp,420,560,/images/players/processed/uk_chuck_hayes.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:cliff-hawkins,player,cliff-hawkins,Cliff Hawkins,uk_cliff_hawkins,2000-01|2001-02|2002-03|2003-04,/images/players/original/uk_cliff_hawkins.webp,420,560,/images/players/processed/uk_cliff_hawkins.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:cory-sears,player,cory-sears,Cory Sears,uk_cory_sears,2000-01|2001-02,/images/players/original/uk_cory_sears.webp,420,560,/images/players/processed/uk_cory_sears.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:derrick-jasper,player,derrick-jasper,Derrick Jasper,uk_derrick_jasper,2006-07,/images/players/original/uk_derrick_jasper.webp,420,560,/images/players/processed/uk_derrick_jasper.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:desmond-allison,player,desmond-allison,Desmond Allison,uk_desmond_allison,1998-99|1999-00,/images/players/original/uk_desmond_allison.webp,420,560,/images/players/processed/uk_desmond_allison.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:dwight-perry,player,dwight-perry,Dwight Perry,uk_dwight_perry,2006-07,/images/players/original/uk_dwight_perry.webp,420,560,/images/players/processed/uk_dwight_perry.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:eric-allen,player,eric-allen,Eric Allen,uk_eric_allen,2004-05,/images/players/original/uk_eric_allen.webp,420,560,/images/players/processed/uk_eric_allen.webp,1260,1680,labeled-placeholder,placeholder,designed placeholder; replacement required,True,required,required-before-publication,,Enhanced Kentucky-themed archival placeholder; no verified UK-uniform portrait was located.
player:erik-daniels,player,erik-daniels,Erik Daniels,uk_erik_daniels,2000-01|2001-02|2002-03|2003-04,/images/players/original/uk_erik_daniels.webp,420,560,/images/players/processed/uk_erik_daniels.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:gerald-fitch,player,gerald-fitch,Gerald Fitch,uk_gerald_fitch,2000-01|2001-02|2002-03|2003-04,/images/players/original/uk_gerald_fitch.webp,420,560,/images/players/processed/uk_gerald_fitch.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:heshimu-evans,player,heshimu-evans,Heshimu Evans,uk_heshimu_evans,1997-98|1998-99,/images/players/original/uk_heshimu_evans.webp,420,560,/images/players/processed/uk_heshimu_evans.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:jp-blevins,player,jp-blevins,J.P. Blevins,uk_jp_blevins,1998-99|1999-00|2000-01|2001-02,/images/players/original/uk_jp_blevins.webp,420,560,/images/players/processed/uk_jp_blevins.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:jamaal-magloire,player,jamaal-magloire,Jamaal Magloire,uk_jamaal_magloire,1997-98|1998-99|1999-00,/images/players/original/uk_jamaal_magloire.webp,420,560,/images/players/processed/uk_jamaal_magloire.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:jared-carter,player,jared-carter,Jared Carter,uk_jared_carter,2005-06|2006-07,/images/players/original/uk_jared_carter.webp,420,560,/images/players/processed/uk_jared_carter.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:jason-parker,player,jason-parker,Jason Parker,uk_jason_parker,2000-01|2001-02,/images/players/original/uk_jason_parker.webp,420,560,/images/players/processed/uk_jason_parker.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:jeff-sheppard,player,jeff-sheppard,Jeff Sheppard,uk_jeff_sheppard,1997-98,/images/players/original/uk_jeff_sheppard.webp,420,560,/images/players/processed/uk_jeff_sheppard.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:jodie-meeks,player,jodie-meeks,Jodie Meeks,uk_jodie_meeks,2006-07,/images/players/original/uk_jodie_meeks.webp,420,560,/images/players/processed/uk_jodie_meeks.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:joe-crawford,player,joe-crawford,Joe Crawford,uk_joe_crawford,2004-05|2005-06|2006-07,/images/players/original/uk_joe_crawford.webp,420,560,/images/players/processed/uk_joe_crawford.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:josh-carrier,player,josh-carrier,Josh Carrier,uk_josh_carrier,2001-02|2002-03|2003-04|2004-05,/images/players/original/uk_josh_carrier.webp,420,560,/images/players/processed/uk_josh_carrier.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:jules-camara,player,jules-camara,Jules Camara,uk_jules_camara,1998-99|1999-00|2001-02|2002-03,/images/players/original/uk_jules_camara.webp,420,560,/images/players/processed/uk_jules_camara.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:keith-bogans,player,keith-bogans,Keith Bogans,uk_keith_bogans,1999-00|2000-01|2001-02|2002-03,/images/players/original/uk_keith_bogans.webp,420,560,/images/players/processed/uk_keith_bogans.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:kelenna-azubuike,player,kelenna-azubuike,Kelenna Azubuike,uk_kelenna_azubuike,2002-03|2003-04|2004-05,/images/players/original/uk_kelenna_azubuike.webp,420,560,/images/players/processed/uk_kelenna_azubuike.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:lukasz-obrzut,player,lukasz-obrzut,Lukasz Obrzut,uk_lukasz_obrzut,2003-04|2004-05|2005-06|2006-07,/images/players/original/uk_lukasz_obrzut.webp,420,560,/images/players/processed/uk_lukasz_obrzut.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:mark-coury,player,mark-coury,Mark Coury,uk_mark_coury,2006-07,/images/players/original/uk_mark_coury.webp,420,560,/images/players/processed/uk_mark_coury.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:marquis-estill,player,marquis-estill,Marquis Estill,uk_marquis_estill,1999-00|2000-01|2001-02|2002-03,/images/players/original/uk_marquis_estill.webp,420,560,/images/players/processed/uk_marquis_estill.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:marvin-stone,player,marvin-stone,Marvin Stone,uk_marvin_stone,1999-00|2000-01|2001-02,/images/players/original/uk_marvin_stone.webp,420,560,/images/players/processed/uk_marvin_stone.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
